,Security Id,Security Name,Group,Industry
0,ABB,ABB India Limited,A ,Heavy Electrical Equipment
1,AEGISLOG,AEGIS LOGISTICS LTD.,A ,Oil Marketing &amp; Distribution
4,ANSALAPI,ANSAL PROPERTIES &amp; INFRASTRUCTURE LTD.,B ,Realty
5,BOMDYEING,BOMBAY DYEING &amp; MFG.CO.LTD.,A ,Textiles
6,ASIANHOTNR,Asian Hotels (North) Limited,B ,Hotels
8,ATUL,ATUL LTD.,A ,Agrochemicals
9,ATVPR,ATV PROJECTS INDIA LTD.,XT,Construction &amp; Engineering
11,BAJAJELEC,BAJAJ ELECTRICALS LTD.-$,A ,Household Appliances
12,BAJAJHIND,Bajaj Hindusthan Sugar Limited,B ,Sugar
13,FORCEMOT,FORCE MOTORS LTD.-$,B ,Cars &amp; Utility Vehicles
14,BAJFINANCE,Bajaj Finance Limited,A ,Finance (including NBFCs)
15,BALRAMCHIN,BALRAMPUR CHINI MILLS LTD.,A ,Sugar
16,BANCOINDIA,BANCO PRODUCTS (INDIA) LTD.-$,B ,Auto Parts &amp; Equipment
18,BANARISUG,BANNARI AMMAN SUGARS LTD.,B ,Sugar
19,BASF,BASF INDIA LTD.,B ,Specialty Chemicals
20,BATAINDIA,BATA INDIA LTD.,A ,Footwear
21,BEML,BEML LTD.,A ,Commercial Vehicles
22,BEL,BHARAT ELECTRONICS LTD.,A ,Defence
23,BEPL,BHANSALI ENGINEERING POLYMERS LTD.-$,B ,Specialty Chemicals
25,BIHSPONG,BIHAR SPONGE IRON LTD.,XT,Iron &amp; Steel/Interm.Products
26,BINANIIND,BINANI INDUSTRIES LTD.,B ,Holding Companies
27,BIRLACABLE,Birla Cable Ltd,T ,Other Elect.Equip./ Prod.
28,BLUESTARCO,BLUE STAR LTD.,B ,Consumer Electronics
29,BPL,BPL LTD.,B ,Consumer Electronics
30,CENTEXT,CENTURY EXTRUSIONS LTD.,B ,Aluminium
31,CESC,CESC LTD.,A ,Electric Utilities
32,CHAMBLFERT,CHAMBAL FERTILISERS &amp; CHEMICALS LTD.,B ,Fertilizers
33,EXIDEIND,EXIDE INDUSTRIES LTD.,A ,Auto Parts &amp; Equipment
34,CIPLA,CIPLA LTD.,A ,Pharmaceuticals
35,DICIND,DIC INDIA LTD.,B ,Specialty Chemicals
36,CRISIL,CRISIL LTD.,A ,Other Financial Services
37,CGPOWER,CG Power and Industrial Solutions Ltd,A ,Heavy Electrical Equipment
38,DABUR,DABUR INDIA LTD.,A ,Personal Products
39,DALMIASUG,Dalmia Bharat Sugar and Industries Ltd,B ,Sugar
40,ARVIND,ARVIND LTD.,A ,Textiles
41,BALLARPUR,BALLARPUR INDUSTRIES LTD.,B ,Paper &amp; Paper Products
42,BHEL,BHARAT HEAVY ELECTRICALS LTD.,A ,Heavy Electrical Equipment
43,HINDPETRO,HINDUSTAN PETROLEUM CORPORATION LTD.,A ,Refineries/ Petro-Products
44,IFCI,IFCI LTD.,A ,Financial Institutions
45,MTNL,MAHANAGAR TELEPHONE NIGAM LTD.,B ,Telecom Services
46,MRPL,MANGALORE REFINERY &amp; PETROCHEMICALS LTD.,A ,Refineries/ Petro-Products
47,CHENNPETRO,CHENNAI PETROLEUM CORPORATION LTD.,A ,Refineries/ Petro-Products
48,RELCAPITAL,RELIANCE CAPITAL LTD.,A ,Finance (including NBFCs)
49,SBIN,STATE BANK OF INDIA,A ,Banks
50,SAIL,STEEL AUTHORITY OF INDIA LTD.,A ,Iron &amp; Steel/Interm.Products
51,TITAN,Titan Company Limited,A ,Other Apparels &amp; Accessories
52,IDBI,IDBI BANK LTD.,A ,Banks
53,DCW,DCW LTD.,T ,Petrochemicals
54,DHAMPURSUG,DHAMPUR SUGAR MILLS LTD.,B ,Sugar
55,ELANTAS,ELANTAS BECK INDIA LTD.-$,B ,Commodity Chemicals
56,DRREDDY,DR.REDDY'S LABORATORIES LTD.,A ,Pharmaceuticals
57,EIDPARRY,E.I.D.-PARRY (INDIA) LTD.,A ,Sugar
59,ELECTCAST,ELECTROSTEEL CASTINGS LTD.,B ,Construction &amp; Engineering
60,ESABINDIA,ESAB INDIA LTD.,B ,Other Industrial Goods
62,ESTER,ESTER INDUSTRIES LTD.,B ,Commodity Chemicals
63,FEDDERELEC,Fedders Electric and Engineering Ltd,B ,Other Elect.Equip./ Prod.
64,FGP,FGP LTD.,XT,Finance (including NBFCs)
65,FINCABLES,FINOLEX CABLES LTD.,A ,Other Elect.Equip./ Prod.
66,UFLEX,UFLEX LTD.,B ,Containers &amp; Packaging
67,FOSECOIND,FOSECO INDIA LTD.,B ,Commodity Chemicals
68,GOLDENTOBC,GOLDEN TOBACCO LTD.,T ,Cigarettes-Tobacco Products
70,GTL,GTL LTD.,B ,Other Telecom Services
71,GODFRYPHLP,GODFREY PHILLIPS INDIA LTD.,A ,Cigarettes-Tobacco Products
72,GODREJIND,GODREJ INDUSTRIES LTD.,A ,Commodity Chemicals
73,KANSAINER,KANSAI NEROLAC PAINTS LTD.,A ,Furniture-Furnishing-Paints
74,GOODYEAR,GOODYEAR INDIA LTD.,B ,Auto Tyres &amp; Rubber Products
75,GTNINDS,GTN INDUSTRIES LTD.,B ,Textiles
76,GHCL,GHCL LTD.,A ,Commodity Chemicals
78,GLFL,GUJARAT LEASE FINANCING LTD.,T ,Finance (including NBFCs)
79,HCL-INSYS,HCL INFOSYSTEMS LTD.,A ,Computer Hardware
80,HDFCBANK,HDFC Bank Ltd,A ,Banks
81,HEROMOTOCO,HERO MOTOCORP LTD.,A ,2/3 Wheelers
82,HFCL,HIMACHAL FUTURISTIC COMMUNICATIONS LTD.,B ,Telecom Cables
83,HSCL,Himadri Speciality Chemical Ltd,B ,Specialty Chemicals
84,HCC,HINDUSTAN CONSTRUCTION CO.LTD.,A ,Construction &amp; Engineering
85,HINDOILEXP,HINDUSTAN OIL EXPLORATION CO.LTD.,B ,Exploration &amp; Production
86,HSIL,HSIL LTD.,B ,Containers &amp; Packaging
87,HINDZINC,HINDUSTAN ZINC LTD.,A ,Zinc
89,HMT,HMT LTD.,Z ,Commercial Vehicles
90,PRAGBOS,PRAG BOSIMI SYNTHETICS LTD.,XT,Textiles
92,IGPL,I G PETROCHEMICALS LTD.,B ,Commodity Chemicals
93,INDIAGLYCO,INDIA GLYCOLS LTD.,B ,Commodity Chemicals
94,INDLEASE,INDIA LEASE DEVELOPMENT LTD.,XT,Finance (including NBFCs)
95,MARGOFIN,Margo Finance Limited,XT,Finance (including NBFCs)
96,INDORAMA,INDO RAMA SYNTHETICS (INDIA) LTD.,B ,Textiles
97,INFY,INFOSYS LTD.,A ,IT Consulting &amp; Software
98,INGERRAND,INGERSOLL-RAND (INDIA) LTD.,B ,Industrial Machinery
101,IONEXCHANG,ION EXCHANGE (INDIA) LTD.-$,XT,Industrial Machinery
102,ATFL,AGRO TECH FOODS LTD.,B ,Other Agricultural Products
103,JISLJALEQS,JAIN IRRIGATION SYSTEMS LTD.,A ,Plastic Products
104,JINDALPOLY,JINDAL POLY FILMS LTD.,B ,Commodity Chemicals
105,JSWSTEEL,JSW STEEL LTD.,A ,Iron &amp; Steel/Interm.Products
107,KAJARIACER,KAJARIA CERAMICS LTD.,A ,Furniture-Furnishing-Paints
108,KAKATCEM,KAKATIYA CEMENT SUGAR &amp; INDUSTRIES LTD.,B ,Cement &amp; Cement Products
109,KSL,KALYANI STEELS LTD.,B ,Iron &amp; Steel/Interm.Products
