,volatility,beta_static,rolling_beta,rolling_volatility,ma_50,ma_200,MarketCap,TrailingPE,TrailingEPS,TotalRevenue,DividendYield,Beta,FullTimeEmployees,Sector_Encoded,Industry_Encoded
20MICRONS.BO,0.5069675361426375,0.8368340180489602,1.078427321503997,0.02711211479582251,91.8949887084961,88.33521020889282,6092213760.0,10.020313,17.23,8977657856.0,0.72,0.872,384.0,1.0,67.0
21STCENMGM.BO,0.42868176438461203,0.318504933774348,-0.012889996401535644,0.012088587522638649,21.991060523986818,24.444360551834105,745080000.0,1.8742735,37.86,1386355968.0,3.59,0.501,10.0,6.0,20.0
3MINDIA.BO,0.3071868950195691,0.6275916056492369,0.4834067176448901,0.00841198180501052,22395.851796875,20913.56083984375,295869972480.0,51.282436,512.15,43418697728.0,0.61,0.292,1033.0,8.0,25.0
63MOONS.BO,0.6290557966380776,0.932511461471262,1.197159266079358,0.026610575760502617,153.83025787353515,182.45943466186523,31798771712.0,,-7.87,1461373056.0,0.29,1.199,863.0,10.0,82.0
A2ZINFRA.BO,0.6256942857943774,1.0322576077906243,0.773293780747085,0.030592785604523165,10.67079999923706,11.438649997711181,2881323264.0,77.90477,0.21,3435841024.0,,0.714,5723.0,8.0,37.0
AARTIDRUGS.BO,0.4360774763685522,0.7067943222259084,0.5749918694212152,0.013044256204444707,455.74902709960935,442.9350823974609,32067715072.0,21.140192,16.62,23302563840.0,0.28,0.834,1064.0,7.0,32.0
AARTIIND.BO,0.35563025097917056,0.721918799100071,1.16007053935415,0.012975473737910028,665.9307946777344,688.3974209594727,136488779776.0,37.166832,10.13,70953197568.0,0.27,0.843,6100.0,1.0,86.0
AARVEEDEN.BO,0.6193279010460518,0.6632181163857807,0.6734298634912362,0.03162987161883054,25.082000045776372,24.201499977111816,3414574080.0,19.563171,7.44,591574976.0,,0.84,386.0,3.0,91.0
ABAN.BO,0.5018434947661421,0.8893449010252001,0.7071155924496567,0.02933962147961125,49.68699981689452,49.9702499961853,2381304320.0,,-166.15,6885150208.0,,0.801,31.0,5.0,62.0
ABB.BO,0.3240320181416199,0.7000212467673118,0.5531803923550559,0.015350945796373484,2975.7468505859374,2663.681154785156,1045056061440.0,55.863728,88.28,121883099136.0,0.68,0.806,,8.0,87.0
ABBOTINDIA.BO,0.2585687782781391,0.3612747838802421,0.3240131116016944,0.009781585534573718,19542.457734375,18061.245537109375,647474708480.0,48.54371,627.69,62431899648.0,1.35,-0.012,3814.0,7.0,32.0
ABFRL.BO,0.3881249695565831,0.7542542988127403,1.0560496518991276,0.013055236310894022,314.8210003662109,292.873249206543,294416482304.0,,-6.22,147830194176.0,,0.172,26965.0,3.0,6.0
ABHISHEK.BO,0.3800974544652363,-0.03243185816322567,0.0,0.0,0.5699999928474426,0.5699999928474426,9124810.0,,,,,,,11.0,97.0
ACC.BO,0.27234537864843106,0.8577061975445278,0.8311281002728418,0.015324909950617088,2476.79384765625,2286.476967163086,341537619968.0,13.192732,137.86,211045105664.0,0.41,0.492,3852.0,1.0,17.0
ACCELYA.BO,0.36969888480559,0.4677444957150182,0.7514695359476243,0.03117851375640657,1304.758193359375,968.4307492065429,19204177920.0,19.959665,64.46,5193948160.0,7.77,0.516,2500.0,10.0,47.0
