Ticker,MarketCap,TrailingPE,ForwardPE,TrailingEPS,ForwardEPS,TotalRevenue,DividendYield,Beta,Sector,Industry,FullTimeEmployees,Sector_Encoded,Industry_Encoded
20MICRONS.BO,6092213760.0,10.020313,,17.23,,8977657856.0,0.72,0.872,Basic Materials,Other Industrial Metals & Mining,384.0,1,67
21STCENMGM.BO,745080000.0,1.8742735,,37.86,,1386355968.0,3.59,0.501,Financial Services,Capital Markets,10.0,6,20
3MINDIA.BO,295869972480.0,51.282436,38.595592,512.15,680.5,43418697728.0,0.61,0.292,Industrials,Conglomerates,1033.0,8,25
63MOONS.BO,31798771712.0,,,-7.87,,1461373056.0,0.29,1.199,Technology,Software - Application,863.0,10,82
A2ZINFRA.BO,2881323264.0,77.90477,,0.21,,3435841024.0,,0.714,Industrials,Engineering & Construction,5723.0,8,37
AARTIDRUGS.BO,32067715072.0,21.140192,7.14998,16.62,49.14,23302563840.0,0.28,0.834,Healthcare,Drug Manufacturers - Specialty & Generic,1064.0,7,32
AARTIIND.BO,136488779776.0,37.166832,5.4009466,10.13,69.71,70953197568.0,0.27,0.843,Basic Materials,Specialty Chemicals,6100.0,1,86
AARVEEDEN.BO,3414574080.0,19.563171,,7.44,,591574976.0,,0.84,Consumer Cyclical,Textile Manufacturing,386.0,3,91
ABAN.BO,2381304320.0,,,-166.15,,6885150208.0,,0.801,Energy,Oil & Gas Drilling,31.0,5,62
ABB.BO,1045056061440.0,55.863728,156.21318,88.28,31.57,121883099136.0,0.68,0.806,Industrials,Specialty Industrial Machinery,,8,87
ABBOTINDIA.BO,647474708480.0,48.54371,111.344,627.69,273.66,62431899648.0,1.35,-0.012,Healthcare,Drug Manufacturers - Specialty & Generic,3814.0,7,32
ABFRL.BO,294416482304.0,,81.44781,-6.22,2.97,147830194176.0,,0.172,Consumer Cyclical,Apparel Manufacturing,26965.0,3,6
ABHISHEK.BO,9124810.0,,,,,,,,Unknown,Unknown,,11,97
ACC.BO,341537619968.0,13.192732,16.527431,137.86,,211045105664.0,0.41,0.492,Basic Materials,Building Materials,3852.0,1,17
ACCELYA.BO,19204177920.0,19.959665,,64.46,,5193948160.0,7.77,0.516,Technology,Information Technology Services,2500.0,10,47
ACE.BO,125032603648.0,32.14963,140.08667,32.68,7.5,32019009536.0,0.19,1.402,Industrials,Farm & Heavy Construction Machinery,1387.0,8,39
ADANIENT.BO,2415756312576.0,69.93151,30.526506,29.93,,1001089073152.0,0.06,1.001,Energy,Thermal Coal,8676.0,5,92
ADANIPORTS.BO,2311673872384.0,22.832304,18.88385,46.87,,288833896448.0,0.56,0.651,Industrials,Marine Shipping,3129.0,8,57
ADANIPOWER.BO,1846510092288.0,14.81281,-346.9203,32.32,-1.38,553293774848.0,,0.723,Utilities,Utilities - Independent Power Producers,3295.0,12,98
ADFFOODS.BO,25713670144.0,32.68855,,7.16,,5841420800.0,0.77,0.892,Consumer Defensive,Packaged Foods,354.0,4,68
ADORWELD.BO,14961187840.0,33.555817,49.982555,25.62,17.2,9202100224.0,4.19,0.777,Industrials,Specialty Industrial Machinery,672.0,8,87
ADSL.BO,11250642944.0,23.000002,15.6328125,8.7,,7794800128.0,0.75,1.135,Technology,Information Technology Services,3000.0,10,47
ADVANIHOTR.BO,5245884416.0,20.487364,22.883064,2.77,2.48,1064633024.0,3.17,0.548,Consumer Cyclical,Lodging,161.0,3,54
AEGISLOG.BO,267005706240.0,46.075108,88.043976,16.51,8.64,68959215616.0,1.18,1.048,Energy,Oil & Gas Refining & Marketing,952.0,5,66
